A-cong difuz depozite de mucus impregn cu bila si eroz de 2/2 cm,congestionat la nivelul antrului difuz depozite de mucus impregnat cu bila si eroziuni de 2/2 cm,N,
A-cong difuz folicular,congestionat la nivelul antrului difuz folicular,N,
A-cong difuz microfolicular,congestionat la nivelul antrului difuz microfolicular,N,
A-cong difuz minim folicular,congestionat la nivelul antrului difuz minim folicular,N,
A-cong difuz parcelar folicular,congestionat la nivelul antrului difuz parcelar folicular,N,
A-cong difuz tapetat cu mucus aerat cu multiple eroz,congestionat la nivelul antrului difuz tapetat cu mucus aerat cu multiple eroziuni,N,
A-cong difuz tapetat de mucus aerat,congestionat la nivelul antrului difuz tapetat de mucus aerat,N,
A-cong difuz tapetat de mucus aerat parcelar impregn cu bila,congestionat la nivelul antrului difuz tapetat de mucus aerat parcelar impregnat cu bila,N,
A-cong difuz cateva eroz acoper cu fibrina,congestionat la nivelul antrului difuz cateva eroziuni acoperit cu fibrina,N,
A-cong difuz jonct A-C minim folicular,congestionat la nivelul antrului difuz joctiune antru corp minim folicular,N,
A-cong difuz pilor spastic pliuri prepilorice hipertrofiate,congestionat la nivelul antrului difuz pilor spastic pliuri prepilorice hipertrofiate,N,
A-cong difuz prolaps muc duod in bulb,congestionat la nivelul antrului difuz prolaps mucoasa duod in bulb,N,
A-cong difuz+cateva eroziuni,congestionat la nivelul antrului difuz si cateva eroziuni,N,
A-cong difuz+folicular,congestionat la nivelul antrului difuz si folicular,N,
A-cong in mozaic,congestionat la nivelul antrului in mozaic,N,
A-cong in mozaic Cmic-ulcer vechi cicatrizat,congestionat la nivelul antrului in mozaic curbura mica ulcer vechi cicatrizat,N,
A-cong in mozaic folicular,congestionat la nivelul antrului in mozaic folicular,N,
A-cong in mozaic la niv corp gastric prez pe peretele post o form proeminenta de 3/4 cm acoper de muc normala si elasticitate similara zonelor adiacente ,congestionat la nivelul antrului in mozaic la niv corp gastric prezinta pe peretele posterioara o forma proeminenta de 3/4 cm acoperit de mucoasa normala si elasticitate similara zonelor adiacente ,N,
A-cong intens cu cateva microeroz (2-3),congestionat la nivelul antrului intens cu cateva microeroz (2 3),N,
A-cong intens tapetat de mucus aerat,congestionat la nivelul antrului intens tapetat de mucus aerat,N,
A-cong partial,congestionat la nivelul antrului partial,N,
A-cong accentuat folicular,congestionat la nivelul antrului accentuat folicular,N,
A-cong depozite de mucus impregn cu bila,congestionat la nivelul antrului depozite de mucus impregnat cu bila,N,
A-cong folicular,congestionat la nivelul antrului folicular,N,
A-cong marmorat,congestionat la nivelul antrului marmorat,N,
A-cong minim folicular,congestionat la nivelul antrului minim folicular,N,
A-cong cant moder de suc gastr si bila,congestionat la nivelul antrului cantitate moderata de suc gastric si bila,N,
A-depozite de mucus impreg cu bila,antru depozite de mucus impreg cu bila,N,
A-difuz cong RDG,antru difuz congestionat reflux duodeno gastric,N,
A-discret folicular,antru discret folicular,N,
A-edematos cong difuz,antru edematos congestionat difuz,N,
A-eroz hemor supf,eroziuni hemoragice superficiale la nivelul antrului,N,
A-folic,folicular la nivelul antrului,N,
A-folicular,folicular la nivelul antrului,N,
A-folicular accentuat,folicular la nivelul antrului accentuat,N,
A-folicular cu cateva eroziuni,folicular la nivelul antrului cu cateva eroziuni,N,
A-folicular marcat,folicular la nivelul antrului marcat,N,
A-folicular marcat eroziune liniara la nivelul pilorului,folicular la nivelul antrului marcat eroziune liniara la nivelul pilorului,N,
A-folicular marcat prepiloric polip ombilicat (pancreas ectopic),folicular la nivelul antrului marcat prepiloric polip ombilicat (pancreas ectopic),N,
A-folicular marcat prolaps muc duodenal,folicular la nivelul antrului marcat prolaps mucoasa duodenal,N,
A-folicular cateva eroz supf (post-aspirina?),folicular la nivelul antrului cateva eroziuni superficiale (posterioara aspirina?),N,
A-folicular cateva lez petesiale,folicular la nivelul antrului cateva leziuni petesiale,N,
A-folicular cu cateva eroz,folicular la nivelul antrului cu cateva eroziuni,N,
A-folicular depozite de bila ce impregn muc,folicular la nivelul antrului depozite de bila ce impregnat mucoasa,N,
A-folicular depozite de mucus impregn cu bila,folicular la nivelul antrului depozite de mucus impregnat cu bila,N,
A-folicular fara semne de HTP,folicular la nivelul antrului fara semne de hipertensiune portala,N,
A-folicular jonct A-C-folicular,folicular la nivelul antrului joctiune antru corp folicular,N,
A-folicular mai accentuat la niv jonct C-A,folicular la nivelul antrului mai accentuat la niv joctiune corp antru,N,
A-folicular parcelar aspect in mozaic,folicular la nivelul antrului parcelar aspect in mozaic,N,
A-folicular bila si mucus aderent de muc,folicular la nivelul antrului bila si mucus aderent de mucoasa,N,
A-folicular cant mare de bila in stomac,folicular la nivelul antrului cantitate mare de bila in stomac,N,
A-folicular cant moder bila in stomac,folicular la nivelul antrului cantitate moderata bila in stomac,N,
A-folicular F-cateva hemor subepit,folicular la nivelul antrului fund cateva hemoragic subepiteliala,N,
A-folicular jonct A-C folicular,folicular la nivelul antrului joctiune antru corp folicular,N,
A-folicular pliuri prepiloric edematiat,folicular la nivelul antrului pliuri prepiloric edematiat,N,
A-folicular zone de mucus aerat ce tapet mucoasa,folicular la nivelul antrului zone de mucus aerat ce tapet mucoasa,N,
A-form polipoida cu baza larga de implantare si cu mucoasa de aceeasi aspect cu cea adiacenta,antru forma polipoida cu baza larga de implantare si cu mucoasa de aceeasi aspect cu cea adiacenta,N,
A-hemor subepit,antru hemoragic subepiteliala,N,
A-impregn cu bila mai edematiata,antru impregnat cu bila mai edematiata,N,
A-macrofolicular 2 eroz,antru macrofolicular 2 eroziuni,N,
A-mai edematiat,antru mai edematiat,N,
A-mai palid,antru mai palid,N,
A-mai palid jonct C-A folicular,antru mai palid joctiune corp antru folicular,N,
A-microcicatricial,antru microcicatricial,N,
A-min folicular,antru minim folicular,N,
A-minim aspect folicular,antru minim aspect folicular,N,
A-minim aspect mozaic,antru minim aspect mozaic,N,
A-minim cong,antru minim congestionat,N,
A-minim folicular,antru minim folicular,N,
A-minim folicular si mucus aerat,antru minim folicular si mucus aerat,N,
A-minim folicular jonct A-C folicular,antru minim folicular joctiune antru corp folicular,N,
A-minim folicular pilor spastic minim RDG,antru minim folicular pilor spastic minim reflux duodeno gastric,N,
A-minim folicular RDG,antru minim folicular reflux duodeno gastric,N,
A-minim folicular spasm piloric cant moder de suc gastr,antru minim folicular spasm piloric cantitate moderata de suc gastric,N,
A-minim mozaic,antru minim mozaic,N,
A-minima cong,antru minima congestionat,N,
A-minima cong folicular,antru minima congestionat folicular,N,
A-mozaic,antru mozaic,N,
A-mozaic si folicular,antru mozaic si folicular,N,
A-mozaic la 1 cm de pilor prez form ombilicata (pancreas ectopic),antru mozaic la 1 cm de pilor prezinta forma ombilicata (pancreas ectopic),N,
A-mozaic prepiloric form polipoida cu baza larga de implantare,antru mozaic prepiloric forma polipoida cu baza larga de implantare,N,
A-mucus aderent pe suprafata,antru mucus aderent pe suprafata,N,
A-mucus aderent pe suprafata cant moder suc gastr,antru mucus aderent pe suprafata cantitate moderata suc gastric,N,
A-mucus impregn cu bila,antru mucus impregnat cu bila,N,
A-multe eroz supf cu caract hemor,antru multe eroziuni superficiale cu caracter hemoragic,N,
A-palida cu circul vizibila minim folicular,antru palida cu circul vizibila minim folicular,N,
A-parcelar atrofic,antru parcelar atrofic,N,
A-parcelar folicular,antru parcelar folicular,N,
A-polip 0.5/0.5cm,antru polip 0.5/0.5cm,N,
A-schiteaza mozaic,antru schiteaza mozaic,N,
A-usor cong,antru usor congestionat,N,
A jonct A-C folicular,antru joctiune antru corp folicular,N,
A+C palid friabil stomac partial volvulat,antru si corp palid friabil stomac partial volvulat,N,
A+C-cong difuz,antru si congestionat la nivelul corpului difuz,N,
A+C-cong difuz tapetat de mucus Cma+A-1 eroz,antru si congestionat la nivelul corpului difuz tapetat de mucus curbura mare si antru 1 eroziuni,N,
A+C-cong difuz tapetat de mucus reflux biliar bulbo-gastro- esof,antru si congestionat la nivelul corpului difuz tapetat de mucus reflux biliar bulbo gastro  esof,N,
A+C-folicular,antru si folicular la nivelul corpului,N,
A+Cma-multiple eroz cu caract hemor hemor subepit,antru si curbura mare multiple eroziuni cu caracter hemoragic hemoragic subepiteliala,N,
alimente,alimente,N,
antral minim aspect folicular,antral minim aspect folicular,N,
bezoar gastr Cmi-UG,bezoar gastric curbura mica ulcer gastric,N,
bila aderenta de mucoasa A-cong,bila aderenta de mucoasa congestionat la nivelul antrului,N,
bila in cant mica,bila in cantitate mica,N,
C-2 ulcere in oglinda acoper de cruste hematice si o eroz hemo la ac nivel,corp 2 ulcere in oglinda acoperit de cruste hematice si o eroziuni hemo la ac nivel,N,
C-cateva eroz A-palida,corp cateva eroziuni antru palida,N,
C-cong difuz A-folicular si depozite de mucus impregn cu bila,corp congestionat difuz folicular la nivelul antrului si depozite de mucus impregnat cu bila,N,
C-cong difuza si aspect macrofolicular staza gastr import cu suc gastr si bila A-folicular cateva lez petesiale depozite de mucus impregnat cu bila,corp congestionat difuza si aspect macrofolicular staza gastrica import cu suc gastric si bila folicular la nivelul antrului cateva leziuni petesiale depozite de mucus impregnat cu bila,N,
C-cong difuza jonct A-C multiple eroz,congestionat la nivelul corpului difuza joctiune antru corp multiple eroziuni,N,
C-fara modif A-folicular,corp fara modificari folicular la nivelul antrului,N,
C-folicular,folicular la nivelul corpului,N,
C-folicular A-cong difuz,corp folicular congestionat la nivelul antrului difuz,N,
C-folicular A-microeroz,folicular la nivelul corpului antru microeroz,N,
C-intens folicular,corp intens folicular,N,
C-lez microhemor subepit,corp leziuni microhemor subepiteliala,N,
C-mica ulceratie acoperita de crusta hematica,corp mica ulceratie acoperita de crusta hematica,N,
C-minim folicular,corp minim folicular,N,
C-moneda de 10 bani,corp moneda de 10 bani,N,
C-muc cong difuz impregn parcelar cu bila Cma-cateva microeroz,corp mucoasa congestionat difuz impregnat parcelar cu bila curbura mare cateva microeroz,N,
C-muc edematiata folicular A-cong difuz folicular,corp mucoasa edematiata folicular congestionat la nivelul antrului difuz folicular,N,
C-muc hipertrofica A-accentuat folicular,corp mucoasa hipertrofica accentuat folicular la nivelul antrului,N,
C-muc mai edematiata A-accentuat folicular,corp mucoasa mai edematiata accentuat folicular la nivelul antrului,N,
C-muc palida,corp mucoasa palida,N,
C-muc palida multiple petesii si o eroz,corp mucoasa palida multiple petesii si o eroziuni,N,
C-muc palida A-aspect de mozaic,corp mucoasa palida antru aspect de mozaic,N,
C-muc palida A-cateva eroz unele acop cu fibrina,corp mucoasa palida antru cateva eroziuni unele acoperite cu fibrina,N,
C-muc palida A-muc palida cu eroz,corp mucoasa palida antru mucoasa palida cu eroziuni,N,
C-multiple eroz hemor,corp multiple eroziuni hemoragic,N,
C-norm A-accent folicular eroziuni multiple,corp norm antru accent folicular eroziuni multiple,N,
C-normal A-cong difuz,corp normal congestionat la nivelul antrului difuz,N,
C-pliuri edematiate,corp pliuri edematiate,N,
C-pliuri edematiate A-cong,corp pliuri edematiate congestionat la nivelul antrului,N,
C-pliuri edematiate A-cong intens,corp pliuri edematiate congestionat la nivelul antrului intens,N,
C-pliuri hipertrofiate edematiate care nu raspund la insuflare de aer,corp pliuri hipertrofiate edematiate care nu raspund la insuflare de aer,N,
C-pliuri mai edematiate A-folicular cateva eroz,corp pliuri mai edematiate folicular la nivelul antrului cateva eroziuni,N,
C-pliuri usor edematiate pilor larg deschis diskinetic,corp pliuri usor edematiate pilor larg deschis diskinetic,N,
C-tapetat cu mucus aerat A-cong intens minim folicular,corp tapetat cu mucus aerat congestionat la nivelul antrului intens minim folicular,N,
C-tapetat de mucus aerat A-folicular si cateva microeroz,corp tapetat de mucus aerat folicular la nivelul antrului si cateva microeroz,N,
C+ A muc palida volvulus gastr incomplet staza gastr cu alim,corp si  antru mucoasa palida volvulus gastric incomplet staza gastrica cu alimentare,N,
C+A cong difuz,corp si antru congestionat difuz,N,
C+A cong difuz cu multiple eroziuni staza gastr moder cu suc gastr si sange digerat in cant mica,corp si antru congestionat difuz cu multiple eroziuni staza gastrica moderata cu suc gastric si sange digerat in cantitate mica,N,
C+A folicular,corp si antru folicular,N,
C+A-accentuat folicular,corp si accentuat folicular la nivelul antrului,N,
C+A-cong difuz,corp si congestionat la nivelul antrului difuz,N,
C+A-cong difuz ,corp si congestionat la nivelul antrului difuz ,N,
C+A-cong difuz tapetat de mucus aerat,corp si congestionat la nivelul antrului difuz tapetat de mucus aerat,N,
C+A-eroz hemor acop part cu fibrina zone de hemor in panza,corp si antru eroziuni hemoragic acoperite partial cu fibrina zone de hemoragic in panza,N,
C+A-folicular,corp si folicular la nivelul antrului,N,
C+A-folicular parcelar de mozaic,corp si folicular la nivelul antrului parcelar de mozaic,N,
C+A-microeroz hemor,corp si antru microeroz hemoragic,N,
C+A-muc palida,corp si antru mucoasa palida,N,
C+A-muc palida friabila la atingere,corp si antru mucoasa palida friabila la atingere,N,
cant mare bila A- cateva eroz,cantitate mare bila antru  cateva eroziuni,N,
cant mare bila pilor boant,cantitate mare bila pilor boant,N,
cant mare de bila in amestec cu suc gastr,cantitate mare de bila in amestec cu suc gastric,N,
cant mare de bila si suc gastr,cantitate mare de bila si suc gastric,N,
cant mare de bila si suc gastr A-cong minim folicular pilor diskinetic,cantitate mare de bila si suc gastric congestionat la nivelul antrului minim folicular pilor diskinetic,N,
cant mare de bila F-petesii,cantitate mare de bila petesii la nivelul fundului,N,
cant mare de sange in stomac care tapeteaza muc muc nu se poate vizualiza,cantitate mare de sange in stomac care tapeteaza mucoasa mucoasa nu se poate vizualiza,N,
cant mare de suc gastr si bila in stomac A-minim folicular,cantitate mare de suc gastric si bila in stomac antru minim folicular,N,
cant mare de suc gastr si bila A-cong,cantitate mare de suc gastric si bila congestionat la nivelul antrului,N,
cant mare de suc gastr si bila F-multiple petesii,cantitate mare de suc gastric si bila fund multiple petesii,N,
cant mare de suc gastr muc mai palida,cantitate mare de suc gastric mucoasa mai palida,N,
cant mare suc gastr,cantitate mare suc gastric,N,
cant mare suc gastr+bila F pericardial-petesii,cantitate mare suc gastric si bila fund pericardial petesii,N,
cant moder de suc gastr si bila muc antral cong si edematiat difuz,cantitate moderata de suc gastric si bila mucoasa antral congestionat si edematiat difuz,N,
cant moder bila,cantitate moderata bila,N,
cant moder bila in stomac,cantitate moderata bila in stomac,N,
cant moder de bila,cantitate moderata de bila,N,
cant moder de bila in stomac JAC-folicular,cantitate moderata de bila in stomac folicular la nivelul jonctiunii antru corp,N,
cant moder de bila suc gastr si alim A-folicular,cantitate moderata de bila suc gastric si alimentare folicular la nivelul antrului,N,
cant moder de sange,cantitate moderata de sange,N,
cant moder de sange inchegat in stomac,cantitate moderata de sange inchegat in stomac,N,
cant moder de suc gastr in stomac,cantitate moderata de suc gastric in stomac,N,
cant moder de suc gastr si bila,cantitate moderata de suc gastric si bila,N,
cant moder de suc gastr si bila in stomac,cantitate moderata de suc gastric si bila in stomac,N,
cant moder de suc gastr si bila in stomac A-minim cong,cantitate moderata de suc gastric si bila in stomac antru minim congestionat,N,
cant moder de suc gastr si bila in stomac pilor diskinetic RDG,cantitate moderata de suc gastric si bila in stomac pilor diskinetic reflux duodeno gastric,N,
cant moder de suc gastr si bila A-cong minim folicular,cantitate moderata de suc gastric si bila congestionat la nivelul antrului minim folicular,N,
cant moder de suc gastr si bila A-folicular,cantitate moderata de suc gastric si bila folicular la nivelul antrului,N,
cant moder de suc gastr si mucus,cantitate moderata de suc gastric si mucus,N,
cant moder de suc gastr C-moneda,cantitate moderata de suc gastric corp moneda,N,
cant moder suc gastr si bila in stomac A-folicular,cantitate moderata suc gastric si bila in stomac folicular la nivelul antrului,N,
cant moder suc gastr si bila in stomac A+C-muc cong,cantitate moderata suc gastric si bila in stomac antru si corp mucoasa congestionat,N,
cant moder suc gastr si bila JAC-folicular,cantitate moderata suc gastric si bila folicular la nivelul jonctiunii antru corp,N,
cant moder suc gastr A-folicular multiple eroz prepiloric form 0.5/0.5cm cu muc de acelasi aspect (pancreas ectopic),cantitate moderata suc gastric folicular la nivelul antrului multiple eroziuni prepiloric forma 0.5/0.5cm cu mucoasa de acelasi aspect (pancreas ectopic),N,
cant moder suc gastr F+A- cateva lez hemor A-folicular,cantitate moderata suc gastric fund si antru  cateva leziuni hemoragic folicular la nivelul antrului,N,
cardia competenta staza gastr cu mult suc gastr muc cong difuz folicular A-cong intens folicular 2 eroziuni,cardia competenta staza gastrica cu mult suc gastric mucoasa congestionat difuz folicular congestionat la nivelul antrului intens folicular 2 eroziuni,N,
cardie boanta pliuri cardiale hipertrofiate volvulus gastr A-granitat,cardie boanta pliuri cardiale hipertrofiate volvulus gastric antru granitat,N,
Cma eroziune punctiforma,curbura mare eroziune punctiforma,N,
Cma polip prepiloric,curbura mare polip prepiloric,N,
Cma- 2-3 microeroz A-cong difuz,curbura mare  2 3 microeroz congestionat la nivelul antrului difuz,N,
CMa-cateva eroz,curbura mare cateva eroziuni,N,
Cma-cateva eroz acoper cu fibrina pliu prepiloric mai edematiat,curbura mare cateva eroziuni acoperit cu fibrina pliu prepiloric mai edematiat,N,
Cma-cateva eroz A-tapetat de mucus aerat usor cong,curbura mare cateva eroziuni antru tapetat de mucus aerat usor congestionat,N,
Cma-eroz fara hemor A-eroz fara hemor,curbura mare eroziuni fara hemoragic antru eroziuni fara hemoragic,N,
Cma-mica eroz acoper de crusta hematica,curbura mare mica eroziuni acoperit de crusta hematica,N,
Cma-polip prepiloric acop de muc identic,curbura mare polip prepiloric acoperite de mucoasa identic,N,
Cma+fata post- eroz cu caract hemor A-minim folicular,curbura mare si fata posterioara  eroziuni cu caracter hemoragic antru minim folicular,N,
Cmi-eroz,curbura mica eroziuni,N,
contractat staza gastrica cu bila antral minim folicular (spec jonct antru-corp),contractat staza gastrica cu bila antral minim folicular (spec joctiune antru corp),N,
corp normal antral accentuat folicular,corp normal antral accentuat folicular,N,
corp normal antral accentuat folicular se extinde spre jonct antru-corp,corp normal antral accentuat folicular se extinde spre joctiune antru corp,N,
corp normal antral congest accentuat folicular,corp normal antral  congestionat accentuat folicular,N,
corp normal antru folicular si congestie moderata,corp normal antru folicular si congestie moderata,N,
corp normal antru minim aspect folicular pilor spastic,corp normal antru minim aspect folicular pilor spastic,N,
corp normal jonct antru-corp multiple eroz antral folicular,corp normal joctiune antru corp multiple eroziuni antral folicular,N,
corp fund normal antral minim folicular (spec jonct),corp fund normal antral minim folicular (spec joctiune),N,
Curb mic-ulcer cic C-ulc cic A-ulc cic ,Curb mic ulcer cic corp ulc cic antru ulc cic ,N,
depoz de fibrina coaguli negri impied aprec corecta profunzz lez,depozite de fibrina coaguli negri impied aprecierea corecta profunzz leziuni,N,
destins de volum cateva lez de decubit,destins de volum cateva leziuni de decubit,N,
destins de volum fara staza A cong aspect de mozaic,destins de volum fara staza antru congestionat aspect de mozaic,N,
destins de volum minima staza fara bila prepilorc lez ulceroase ce-l deformeaza,destins de volum minima staza fara bila prepilorc leziuni ulceroase ce l deformeaza,N,
destins de volum staza gastr cu bila jonct A-C minim aspect folicular,destins de volum staza gastrica cu bila joctiune antru corp minim aspect folicular,N,
destins de volum jonct A-C minim aspect folicular,destins de volum joctiune antru corp minim aspect folicular,N,
destins fara piuri evidente muc aspect de piatra de pavaj A-prepiloric si in jur cateva eroz punctiforme cu caract hemor minim,destins fara piuri evidente mucoasa aspect de piatra de pavaj antru prepiloric si in jur cateva eroziuni punctiforme cu caracter hemoragic minim,N,
destins in volum,destins in volum,N,
destins in volum C+A-eroz punctiforme cu caract hemor,destins in volum corp si antru eroziuni punctiforme cu caracter hemoragic,N,
destins in volum min staza cu bila C-fara modif F-vasculariz vizibila A-minim aspect mozaic alocuri atrofic,destins in volum minim staza cu bila corp fara modificari fund vasculariz vizibila antru minim aspect mozaic alocuri atrofic,N,
destins in volum staza cu bila si mult mucus aerat  A-accentuat mozaic si depoz de bila,destins in volum staza cu bila si mult mucus aerat  accentuat mozaic la nivelul antrului si depozite de bila,N,
destins in volum staza import cu bila si mult mucus  A-cong,destins in volum staza import cu bila si mult mucus  congestionat la nivelul antrului,N,
destins pliuri aplatizate fara staza antral cateva hemoragii subepiteliale si parcelar aspect atrofic,destins pliuri aplatizate fara staza antral cateva hemoragii subepiteliale si parcelar aspect atrofic,N,
destins sataza gastrica cu bila antral aspect mozaic,destins sataza gastrica cu bila antral aspect mozaic,N,
destins staza gastrica import dar fara bila ,destins staza gastrica import dar fara bila ,N,
difuz lez erozivo-hemor de dimens si profunz difer,difuz leziuni erozivo hemoragic de dimens si profunz difer,N,
eroz acop de crusta hematica,eroziuni acoperite de crusta hematica,N,
eroziune pe un pliu piloric,eroziune pe un pliu piloric,N,
F-1 cordon variceal,fund 1 cordon variceal,N,
F-cateva eroz hemor pericardiale reflux duodeno-gastr,fund cateva eroziuni hemoragic pericardiale reflux duodeno gastric,N,
F-cateva eroz supf A-cong si edematiat cant mare de bila in stomac,fund cateva eroziuni superficiale congestionat la nivelul antrului si edematiat cantitate mare de bila in stomac,N,
F-cateva eroz supf RDG,fund cateva eroziuni superficiale reflux duodeno gastric,N,
F-cateva hemor subepit,fund cateva hemoragic subepiteliala,N,
F-cateva petesii pericardial A-cong in mozaic minim folicular,fund cateva petesii pericardial congestionat la nivelul antrului in mozaic minim folicular,N,
F-cateva petesii submuc cant moder de bila in stomac,fund cateva petesii submuc cantitate moderata de bila in stomac,N,
F-cateva petesii cant mare de suc gastr si bila,fund cateva petesii cantitate mare de suc gastric si bila,N,
F-cateva petesii staza gastr cu suc gastr si bila,fund cateva petesii staza gastrica cu suc gastric si bila,N,
F-cong,fund congestionat,N,
F-eroz supf,eroziuni superficiale la nivelul fundului,N,
F-eroziuni punctiforme,fund eroziuni punctiforme,N,
F-gastrita fizica A-mozaic cateva petesii,fund gastrita fizica antru mozaic cateva petesii,N,
F-hemor epit staza gastr cu mult mucus,fund hemoragic epit staza gastrica cu mult mucus,N,
F-hemor subepit,fund hemoragic subepiteliala,N,
F-hemor subepit (posib prolaps gastr),fund hemoragic subepiteliala (posibil prolaps gastric),N,
F-hemor subepit (rezult in urma prolaps gastr),fund hemoragic subepiteliala (rezult in urma prolaps gastric),N,
F-hemor subepit punctiforme Cmi-hemor punctiforme A-piatra de pavaj muc cong,fund hemoragic subepiteliala punctiforme curbura mica hemoragic punctiforme antru piatra de pavaj mucoasa congestionat,N,
F-hemor subepit A-piatra de pavaj,fund hemoragic subepiteliala antru piatra de pavaj,N,
F-hemor subepit fara semne HTP,fund hemoragic subepiteliala fara semne hipertensiune portala,N,
F-lez hemor supf,fund leziuni hemoragic superficiale,N,
F-mici eroz hemor,fund mici eroziuni hemoragic,N,
F-microcicatricial A-folicular impregnat cu bila pilor diskinetic,fund microcicatricial folicular la nivelul antrului impregnat cu bila pilor diskinetic,N,
F-microeroz,fund microeroz,N,
F-micropetesii,fund micropetesii,N,
F-minima cong,fund minima congestionat,N,
F-multe petesii A-folicular,fund multe petesii folicular la nivelul antrului,N,
F-multiple eroz supf 1 ulcer acoper cu crusta hematica,fund multiple eroziuni superficiale 1 ulcer acoperit cu crusta hematica,N,
F-multiple petesii,fund multiple petesii,N,
F-multiple petesii A-cong pilor incontinent,fund multiple petesii congestionat la nivelul antrului pilor incontinent,N,
F-multiple petesii cant mare bila,fund multiple petesii cantitate mare bila,N,
F-numer hemor subepit in lichidul de staza cheaguri de sange,fund numer hemoragic subepiteliala in lichidul de staza cheaguri de sange,N,
F-petesii,petesii la nivelul fundului,N,
F-petesii precardial,petesii la nivelul fundului precardial,N,
F-petesii eroziuni hemor,petesii la nivelul fundului eroziuni hemoragic,N,
F-petesii A-cong,fund petesii congestionat la nivelul antrului,N,
F-petesii A-cong in mozaic spasm piloric cant mare suc gastr in stomac,fund petesii congestionat la nivelul antrului in mozaic spasm piloric cantitate mare suc gastric in stomac,N,
F-petesii A-minim folicular pilor larg deschis,petesii la nivelul fundului antru minim folicular pilor larg deschis,N,
F-posibile lez,fund posibile leziuni,N,
F-sufuziuni hemor probab prolaps gastr A-minim folicular,fund sufuziuni hemoragic probab prolaps gastric antru minim folicular,N,
F-UG,fund ulcer gastric,N,
F+A-multiple eroz superf hemor,fund si antru multiple eroziuni superf hemoragic,N,
fara HTP,fara hipertensiune portala,N,
folicular,folicular,N,
folicular C-accentuat folicular,folicular corp accentuat folicular,N,
fund eroziune superf fata ant si post cateva hemor subepit punctiforme,fund eroziune superf fata ant si posterioara cateva hemoragic subepiteliala punctiforme,N,
gastropatie HT staza gastr,gastropatie HT staza gastric,N,
hemor subepit fundus antral folic,hemoragic subepiteliala fundus antral folicular,N,
hipoton alungit muc norm,hipoton alungit mucoasa norm,N,
intens folicular,intens folicular,N,
intreg stomac folicular,intreg stomac folicular,N,
J+A-folicular,jonctiune si folicular la nivelul antrului,N,
jonct A-C folicular,joctiune antru corp folicular,N,
jonct A-C folicular A-cong in mozaic pilor spastic,joctiune antru corp folicular congestionat la nivelul antrului in mozaic pilor spastic,N,
jonct C-A cong cu mozaic,joctiune corp antru congestionat cu mozaic,N,
